palabra,tipo,gravedad
idiota,insulto,media
imbecil,insulto,alta
estupido,insulto,alta
basura,despectivo,media
asqueroso,insulto,media
mierda,vulgaridad,alta
miarda,vulgaridad,alta
tonto,insulto,baja
inutil,insulto,media
horrible,despectivo,media
inepto,insulto,media
maldito,vulgaridad,alta
puto,vulgaridad,alta
puta,vulgaridad,alta
pendejo,insulto,alta
naco,despectivo,media
loco,insulto,baja
pt,abreviado,media
perra,vulgaridad,alta
perro,insulto,media
idiot@,insulto,media
estúpido,insulto,alta
cabrón,vulgaridad,alta
cabrona,vulgaridad,alta
imbécil,insulto,alta
tarado,insulto,media
animal,insulto,baja
burro,insulto,baja
bestia,insulto,baja
estupidez,vulgaridad,media
asno,insulto,baja
desgraciado,insulto,alta
malnacido,insulto,alta
malparido,insulto,alta
zorra,vulgaridad,alta
cerdo,insulto,media
mongolico,capacitista,alta
retrasado,capacitista,alta
anormal,insulto,media
baboso,insulto,media
sapo,despectivo,media
rata,despectivo,media
traidor,despectivo,media
inepta,insulto,media
gilipollas,insulto,alta
pelotudo,insulto,alta
culo,vulgaridad,media
coño,vulgaridad,alta
jodido,vulgaridad,media
malagradecido,despectivo,media
culero,vulgaridad,alta
